"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C4, C7","3","4.7 uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"2","C2","1","GRM1555C1HR80BA01D","GRM1555C1HR80BA01D:CAPC1005X55N",""
"3","C3","1","GRM1555C1HR30WA01D","GRM1555C1HR30WA01D:CAPC1005X55N",""
"4","C5, C6","2","10 pF","Capacitor_SMD:C_0402_1005Metric",""
"5","C8, C9, C10, C11, C12, C13, C17, C18","8","100nF","Capacitor_SMD:C_0402_1005Metric",""
"6","C14","1","100 pF","Capacitor_SMD:C_0402_1005Metric",""
"7","C15","1","1 uF","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",""
"8","C16","1","10 nF","Capacitor_SMD:C_0402_1005Metric",""
"9","C19","1","0.1uF","Capacitor_SMD:C_0402_1005Metric",""
"10","C21","1","100uF","",""
"11","D1","1","BAT54W","Package_TO_SOT_SMD:SOT-323_SC-70",""
"12","FL1","1","DLF162500LT-5028A1","Filter:DLF162500LT5028A1",""
"13","J1, J2, J4, J5","4","Conn_02x10_Counter_Clockwise","Connector_PinSocket_2.54mm:PinSocket_2x10_P2.54mm_Vertical",""
"14","J3","1","RSP-122811-02","RSP-122811-02:SAMTEC_RSP-122811-02",""
"15","JP1","1","SolderJumper_2_Open","Resistor_SMD:R_1812_4532Metric",""
"16","L1","1","LQM21FN100M70L","LQM21FN100M70L:INDC2012X145N",""
"17","L2","1","LQG15WZ10NJ02D","LQG15WZ10NJ02D:INDC1006X60N",""
"18","L3","1","LQG15HS2N7S02D","LQG15HS2N7S02D:INDC1005X55N",""
"19","R1","1","1k","Resistor_SMD:R_1218_3246Metric_Pad1.22x4.75mm_HandSolder",""
"20","R2","1","10k","Resistor_SMD:R_1218_3246Metric_Pad1.22x4.75mm_HandSolder",""
"21","R3","1","100k","Resistor_SMD:R_1218_3246Metric_Pad1.22x4.75mm_HandSolder",""
"22","S1","1","USER BUTTON","TS026670BK160LCRD",""
"23","S2","1","RESET","TS026670BK160LCRD",""
"24","U1","1","STM32WB15CCU6","QFPN_15CCU6_STM",""
"25","U2","1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"26","X1","1","32 MHz","Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm",""
"27","X2","1","32.768 kHz","Crystal:Crystal_SMD_2012-2Pin_2.0x1.2mm",""
